width_ns_center,tick,count
0.0,0,0
13.88888888888889,1,0
27.77777777777778,2,0
41.66666666666667,3,0
55.55555555555556,4,0
69.44444444444444,5,0
83.33333333333334,6,0
97.22222222222223,7,0
111.11111111111111,8,0
125.0,9,0
138.88888888888889,10,0
152.77777777777777,11,0
166.66666666666669,12,0
180.55555555555557,13,0
194.44444444444446,14,0
208.33333333333334,15,0
222.22222222222223,16,0
236.11111111111111,17,0
250.0,18,0
263.8888888888889,19,0
277.77777777777777,20,0
291.6666666666667,21,0
305.55555555555554,22,0
319.44444444444446,23,0
333.33333333333337,24,0
347.22222222222223,25,0
361.11111111111114,26,0
375.0,27,0
388.8888888888889,28,0
402.77777777777777,29,0
416.6666666666667,30,0
430.55555555555554,31,0
444.44444444444446,32,0
458.33333333333337,33,0
472.22222222222223,34,0
486.11111111111114,35,0
500.0,36,0
513.8888888888889,37,0
527.7777777777778,38,1
541.6666666666666,39,0
555.5555555555555,40,1
569.4444444444445,41,0
583.3333333333334,42,0
597.2222222222223,43,0
611.1111111111111,44,0
625.0,45,0
638.8888888888889,46,0
652.7777777777778,47,0
666.6666666666667,48,0
680.5555555555555,49,0
694.4444444444445,50,0
708.3333333333334,51,2
722.2222222222223,52,0
736.1111111111111,53,1
750.0,54,0
763.8888888888889,55,0
777.7777777777778,56,1
791.6666666666667,57,0
805.5555555555555,58,0
819.4444444444445,59,0
833.3333333333334,60,0
847.2222222222223,61,0
861.1111111111111,62,0
875.0,63,0
888.8888888888889,64,0
902.7777777777778,65,0
916.6666666666667,66,0
930.5555555555555,67,0
944.4444444444445,68,0
958.3333333333334,69,0
972.2222222222223,70,0
986.1111111111111,71,0
1000.0,72,0
1013.8888888888889,73,0
1027.7777777777778,74,0
1041.6666666666667,75,0
1055.5555555555557,76,0
1069.4444444444446,77,0
1083.3333333333333,78,0
1097.2222222222222,79,0
1111.111111111111,80,0
1125.0,81,0
1138.888888888889,82,0
1152.7777777777778,83,0
1166.6666666666667,84,1
1180.5555555555557,85,0
1194.4444444444446,86,1
1208.3333333333333,87,1
1222.2222222222222,88,0
1236.111111111111,89,2
1250.0,90,3
1263.888888888889,91,4
1277.7777777777778,92,4
1291.6666666666667,93,3
1305.5555555555557,94,7
1319.4444444444446,95,3
1333.3333333333335,96,4
1347.2222222222222,97,8
1361.111111111111,98,7
1375.0,99,11
1388.888888888889,100,15
1402.7777777777778,101,16
1416.6666666666667,102,14
1430.5555555555557,103,25
1444.4444444444446,104,20
1458.3333333333335,105,37
1472.2222222222222,106,29
1486.111111111111,107,29
1500.0,108,30
1513.888888888889,109,49
1527.7777777777778,110,40
1541.6666666666667,111,33
1555.5555555555557,112,50
1569.4444444444446,113,62
1583.3333333333335,114,65
1597.2222222222222,115,69
1611.111111111111,116,85
1625.0,117,79
1638.888888888889,118,90
1652.7777777777778,119,86
1666.6666666666667,120,83
1680.5555555555557,121,92
1694.4444444444446,122,100
1708.3333333333335,123,99
1722.2222222222222,124,106
1736.111111111111,125,116
1750.0,126,108
1763.888888888889,127,130
1777.7777777777778,128,139
1791.6666666666667,129,133
1805.5555555555557,130,112
1819.4444444444446,131,141
1833.3333333333335,132,129
1847.2222222222222,133,123
1861.111111111111,134,144
1875.0,135,137
1888.888888888889,136,147
1902.7777777777778,137,152
1916.6666666666667,138,116
1930.5555555555557,139,144
1944.4444444444446,140,139
1958.3333333333335,141,149
1972.2222222222222,142,159
1986.111111111111,143,152
2000.0,144,166
2013.888888888889,145,158
2027.7777777777778,146,164
2041.6666666666667,147,170
2055.5555555555557,148,197
2069.4444444444443,149,222
2083.3333333333335,150,252
2097.222222222222,151,267
2111.1111111111113,152,264
2125.0,153,323
2138.888888888889,154,368
2152.777777777778,155,405
2166.6666666666665,156,482
2180.5555555555557,157,469
2194.4444444444443,158,556
2208.3333333333335,159,541
2222.222222222222,160,608
2236.1111111111113,161,670
2250.0,162,683
2263.888888888889,163,731
2277.777777777778,164,807
2291.6666666666665,165,794
2305.5555555555557,166,811
2319.4444444444443,167,816
2333.3333333333335,168,796
2347.222222222222,169,837
2361.1111111111113,170,798
2375.0,171,858
2388.888888888889,172,824
2402.777777777778,173,810
2416.6666666666665,174,781
2430.5555555555557,175,715
2444.4444444444443,176,733
2458.3333333333335,177,688
2472.222222222222,178,669
2486.1111111111113,179,626
2500.0,180,576
2513.888888888889,181,576
2527.777777777778,182,525
2541.6666666666665,183,491
2555.5555555555557,184,498
2569.4444444444443,185,407
2583.3333333333335,186,378
2597.222222222222,187,377
2611.1111111111113,188,349
2625.0,189,283
2638.888888888889,190,257
2652.777777777778,191,243
2666.666666666667,192,262
2680.5555555555557,193,222
2694.4444444444443,194,185
2708.3333333333335,195,170
2722.222222222222,196,152
2736.1111111111113,197,138
2750.0,198,128
2763.888888888889,199,118
2777.777777777778,200,121
2791.666666666667,201,97
2805.5555555555557,202,74
2819.4444444444443,203,79
2833.3333333333335,204,62
2847.222222222222,205,61
2861.1111111111113,206,56
2875.0,207,66
2888.888888888889,208,35
2902.777777777778,209,26
2916.666666666667,210,29
2930.5555555555557,211,28
2944.4444444444443,212,16
2958.3333333333335,213,16
2972.222222222222,214,21
2986.1111111111113,215,23
3000.0,216,8
3013.888888888889,217,12
3027.777777777778,218,5
3041.666666666667,219,9
3055.5555555555557,220,4
3069.4444444444443,221,8
3083.3333333333335,222,2
3097.222222222222,223,5
3111.1111111111113,224,1
3125.0,225,2
3138.888888888889,226,2
3152.777777777778,227,7
3166.666666666667,228,3
3180.5555555555557,229,1
3194.4444444444443,230,1
3208.3333333333335,231,2
3222.222222222222,232,0
3236.1111111111113,233,2
3250.0,234,1
3263.888888888889,235,0
3277.777777777778,236,3
3291.666666666667,237,0
3305.5555555555557,238,0
3319.4444444444443,239,0
3333.3333333333335,240,2
3347.222222222222,241,1
3361.1111111111113,242,2
3375.0,243,0
3388.888888888889,244,1
3402.777777777778,245,0
3416.666666666667,246,0
3430.5555555555557,247,0
3444.4444444444443,248,0
3458.3333333333335,249,0
3472.222222222222,250,0
3486.1111111111113,251,0
3500.0,252,0
3513.888888888889,253,0
3527.777777777778,254,0
3541.666666666667,255,1
3555.5555555555557,256,0
3569.4444444444443,257,0
3583.3333333333335,258,0
3597.222222222222,259,0
3611.1111111111113,260,0
3625.0,261,0
3638.888888888889,262,0
3652.777777777778,263,0
3666.666666666667,264,0
3680.5555555555557,265,0
3694.4444444444443,266,0
3708.3333333333335,267,0
3722.222222222222,268,0
3736.1111111111113,269,0
3750.0,270,0
3763.888888888889,271,0
3777.777777777778,272,0
3791.666666666667,273,0
3805.5555555555557,274,0
3819.4444444444443,275,0
3833.3333333333335,276,0
3847.222222222222,277,0
3861.1111111111113,278,0
3875.0,279,0
3888.888888888889,280,0
3902.777777777778,281,0
3916.666666666667,282,0
3930.5555555555557,283,0
3944.4444444444443,284,0
3958.3333333333335,285,0
3972.222222222222,286,0
3986.1111111111113,287,0
4000.0,288,0
4013.888888888889,289,0
4027.777777777778,290,0
4041.666666666667,291,0
4055.5555555555557,292,0
4069.4444444444443,293,0
4083.3333333333335,294,0
4097.222222222223,295,0
4111.111111111111,296,0
4125.0,297,0
4138.888888888889,298,0
4152.777777777778,299,0
4166.666666666667,300,0
4180.555555555556,301,0
4194.444444444444,302,0
4208.333333333333,303,0
4222.222222222223,304,0
4236.111111111111,305,0
4250.0,306,0
4263.888888888889,307,0
4277.777777777778,308,0
4291.666666666667,309,0
4305.555555555556,310,0
4319.444444444444,311,0
4333.333333333333,312,0
4347.222222222223,313,0
4361.111111111111,314,0
4375.0,315,0
4388.888888888889,316,0
4402.777777777778,317,0
4416.666666666667,318,0
4430.555555555556,319,0
4444.444444444444,320,0
4458.333333333333,321,0
4472.222222222223,322,0
4486.111111111111,323,0
4500.0,324,0
4513.888888888889,325,1
4527.777777777778,326,0
4541.666666666667,327,1
4555.555555555556,328,0
4569.444444444444,329,0
4583.333333333333,330,0
4597.222222222223,331,0
4611.111111111111,332,0
4625.0,333,0
4638.888888888889,334,0
4652.777777777778,335,0
4666.666666666667,336,0
4680.555555555556,337,0
4694.444444444444,338,0
4708.333333333333,339,0
4722.222222222223,340,0
4736.111111111111,341,0
4750.0,342,0
4763.888888888889,343,0
4777.777777777778,344,0
4791.666666666667,345,0
4805.555555555556,346,0
4819.444444444444,347,0
4833.333333333333,348,0
4847.222222222223,349,0
4861.111111111111,350,0
