tick,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,0
40,1
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,2
52,0
53,1
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,1
87,1
88,0
89,2
90,3
91,4
92,4
93,3
94,7
95,3
96,4
97,8
98,7
99,11
100,15
101,16
102,14
103,25
104,20
105,37
106,29
107,29
108,30
109,49
110,40
111,33
112,50
113,62
114,65
115,69
116,85
117,79
118,90
119,86
120,83
121,92
122,100
123,99
124,106
125,116
126,108
127,130
128,139
129,133
130,112
131,141
132,129
133,123
134,144
135,137
136,147
137,152
138,116
139,144
140,139
141,149
142,159
143,152
144,166
145,158
146,164
147,170
148,197
149,222
150,252
151,267
152,264
153,323
154,368
155,405
156,482
157,469
158,556
159,541
160,608
161,670
162,683
163,731
164,807
165,794
166,811
167,816
168,796
169,837
170,798
171,858
172,824
173,810
174,781
175,715
176,733
177,688
178,669
179,626
180,576
181,576
182,525
183,491
184,498
185,407
186,378
187,377
188,349
189,283
190,257
191,243
192,262
193,222
194,185
195,170
196,152
197,138
198,128
199,118
200,121
201,97
202,74
203,79
204,62
205,61
206,56
207,66
208,35
209,26
210,29
211,28
212,16
213,16
214,21
215,23
216,8
217,12
218,5
219,9
220,4
221,8
222,2
223,5
224,1
225,2
226,2
227,7
228,3
229,1
230,1
231,2
232,0
233,2
234,1
235,0
236,3
237,0
238,0
239,0
240,2
241,1
242,2
243,0
244,1
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,1
326,0
327,1
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
