n_total,27107
n_saved_reported,8192
timclk,72000000
etr_count,27109

index,width_ticks,width_ns
450,99,1375
451,125,1736
452,95,1319
453,98,1361
454,112,1555
455,122,1694
456,110,1527
457,106,1472
458,113,1569
459,117,1625
460,139,1930
461,104,1444
462,113,1569
463,102,1416
464,108,1500
465,117,1625
466,126,1750
467,138,1916
468,125,1736
469,137,1902
470,127,1763
471,108,1500
472,126,1750
473,134,1861
474,139,1930
475,94,1305
476,110,1527
477,97,1347
478,138,1916
479,106,1472
480,114,1583
481,109,1513
482,141,1958
483,93,1291
484,96,1333
485,93,1291
486,85,1180
487,65,902
488,108,1500
489,129,1791
490,107,1486
491,112,1555
492,115,1597
493,95,1319
494,125,1736
495,75,1041
496,103,1430
497,117,1625
498,102,1416
499,107,1486
500,86,1194
501,86,1194
502,123,1708
503,97,1347
504,105,1458
505,112,1555
506,142,1972
507,89,1236
508,136,1888
509,112,1555
510,124,1722
511,88,1222
512,115,1597
513,93,1291
514,124,1722
515,94,1305
516,126,1750
517,143,1986
518,118,1638
519,104,1444
520,138,1916
521,107,1486
522,98,1361
523,84,1166
524,138,1916
525,105,1458
526,114,1583
527,101,1402
528,98,1361
529,98,1361
530,121,1680
531,90,1250
532,97,1347
533,100,1388
534,98,1361
535,142,1972
536,82,1138
537,104,1444
538,87,1208
539,106,1472
540,147,2041
541,121,1680
542,82,1138
543,93,1291
544,111,1541
545,118,1638
546,97,1347
547,105,1458
548,110,1527
549,130,1805
550,142,1972
551,111,1541
552,102,1416
553,96,1333
554,142,1972
555,109,1513
556,131,1819
557,131,1819
558,92,1277
559,134,1861
560,116,1611
561,106,1472
562,115,1597
563,131,1819
564,131,1819
565,122,1694
566,126,1750
567,117,1625
568,113,1569
569,103,1430
570,114,1583
571,90,1250
572,104,1444
573,109,1513
574,106,1472
575,121,1680
576,111,1541
577,72,1000
578,89,1236
579,111,1541
580,97,1347
581,67,930
582,130,1805
583,113,1569
584,92,1277
585,123,1708
586,84,1166
587,130,1805
588,110,1527
589,117,1625
590,113,1569
591,141,1958
592,46,638
593,114,1583
594,102,1416
595,105,1458
596,140,1944
597,140,1944
598,117,1625
599,92,1277
600,98,1361
601,81,1125
602,106,1472
603,105,1458
604,89,1236
605,128,1777
606,107,1486
607,128,1777
608,92,1277
609,163,2263
610,123,1708
611,139,1930
612,118,1638
613,142,1972
614,91,1263
615,96,1333
616,129,1791
617,102,1416
618,110,1527
619,114,1583
620,103,1430
621,89,1236
622,105,1458
623,118,1638
624,94,1305
625,119,1652
626,124,1722
627,121,1680
628,119,1652
629,106,1472
630,130,1805
631,100,1388
632,102,1416
633,104,1444
634,118,1638
635,117,1625
636,147,2041
637,176,2444
638,95,1319
639,109,1513
640,120,1666
641,114,1583
642,56,777
643,138,1916
644,101,1402
645,124,1722
646,115,1597
647,139,1930
648,90,1250
649,94,1305
650,122,1694
651,90,1250
652,82,1138
653,131,1819
654,103,1430
655,113,1569
656,115,1597
657,92,1277
658,87,1208
659,124,1722
660,105,1458
661,92,1277
662,130,1805
663,36,500
664,96,1333
665,98,1361
666,102,1416
667,97,1347
668,78,1083
669,93,1291
670,108,1500
671,108,1500
672,114,1583
673,111,1541
674,115,1597
675,115,1597
676,90,1250
677,127,1763
678,109,1513
679,112,1555
680,94,1305
681,118,1638
682,124,1722
683,69,958
684,134,1861
685,116,1611
686,117,1625
687,103,1430
688,121,1680
689,118,1638
690,121,1680
691,117,1625
692,108,1500
693,133,1847
694,114,1583
695,87,1208
696,143,1986
697,115,1597
698,75,1041
699,125,1736
700,122,1694
701,117,1625
702,87,1208
703,98,1361
704,102,1416
705,127,1763
706,107,1486
707,115,1597
708,101,1402
709,110,1527
710,109,1513
711,96,1333
712,126,1750
713,129,1791
714,108,1500
715,143,1986
716,123,1708
717,131,1819
718,105,1458
719,92,1277
720,128,1777
721,101,1402
722,156,2166
723,85,1180
724,114,1583
725,97,1347
726,119,1652
727,105,1458
728,100,1388
729,96,1333
730,94,1305
731,72,1000
732,83,1152
733,129,1791
