tick,count
4,1
5,1
6,0
7,2
8,3
9,2
10,7
11,3
12,6
13,6
14,6
15,6
16,6
17,6
18,6
19,5
20,6
21,5
22,10
23,9
24,9
25,6
26,6
27,18
28,7
29,11
30,12
31,13
32,15
33,15
34,21
35,18
36,20
37,25
38,12
39,23
40,28
41,24
42,23
43,22
44,19
45,19
46,12
47,20
48,14
49,18
50,6
51,6
52,10
53,8
54,7
55,3
56,8
57,6
58,3
59,3
60,3
61,1
62,4
63,3
64,5
65,3
66,2
67,2
68,1
69,2
70,2
71,2
72,2
73,3
74,3
75,7
76,4
77,6
78,4
79,6
80,6
81,8
82,8
83,14
84,14
85,24
86,22
87,26
88,23
89,33
90,32
91,39
92,53
93,51
94,66
95,57
96,76
97,73
98,83
99,99
100,107
101,136
102,135
103,167
104,185
105,159
106,213
107,211
108,223
109,225
110,305
111,320
112,309
113,339
114,334
115,374
116,423
117,405
118,456
119,447
120,464
121,519
122,507
123,494
124,533
125,546
126,579
127,599
128,606
129,605
130,591
131,591
132,690
133,660
134,613
135,684
136,626
137,652
138,636
139,628
140,661
141,615
142,684
143,697
144,734
145,724
146,753
147,845
148,872
149,875
150,992
151,1075
152,1122
153,1216
154,1350
155,1517
156,1525
157,1673
158,1795
159,1966
160,2046
161,2092
162,2302
163,2370
164,2460
165,2507
166,2552
167,2556
168,2552
169,2539
170,2598
171,2595
172,2613
173,2475
174,2463
175,2383
176,2312
177,2215
178,2071
179,2070
180,1900
181,1787
182,1705
183,1577
184,1555
185,1433
186,1269
187,1191
188,1024
189,1042
190,967
191,834
192,769
193,746
194,660
195,631
196,548
197,527
198,453
199,382
200,365
201,322
202,318
203,250
204,257
205,237
206,193
207,192
208,137
209,130
210,118
211,102
212,97
213,100
214,75
215,60
216,60
217,49
218,40
219,47
220,45
221,31
222,24
223,17
224,16
225,18
226,17
227,12
228,17
229,11
230,6
231,11
232,7
233,8
234,5
235,5
236,3
237,5
238,6
239,3
240,6
241,2
242,3
243,2
244,1
245,1
246,2
247,2
248,1
249,1
250,0
251,2
252,2
253,2
254,1
255,1
256,2
257,0
258,2
259,0
260,0
261,1
262,0
263,0
264,0
265,1
266,0
267,0
268,1
269,0
270,0
271,4
272,0
273,0
274,0
275,2
276,0
277,1
278,0
279,0
280,0
281,0
282,1
283,0
284,0
285,0
286,1
287,0
288,0
289,0
290,2
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,1
300,0
301,0
302,0
303,1
304,0
305,0
306,0
307,0
308,1
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,1
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,1
507,0
508,0
509,0
510,0
511,1
