cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,timclk
100,1,2,2,2,2,72000000
101,1,7,7,7,7,72000000
102,1,5,5,5,5,72000000
103,1,2,2,2,2,72000000
104,1,7,7,7,7,72000000
105,1,6,6,6,6,72000000
106,1,5,5,5,5,72000000
107,1,5,5,5,5,72000000
108,1,7,7,7,7,72000000
109,1,15,15,15,15,72000000
110,1,8,8,8,8,72000000
111,1,6,6,6,6,72000000
112,1,7,7,7,7,72000000
113,1,7,7,7,7,72000000
114,1,3,3,3,3,72000000
115,1,8,8,8,8,72000000
116,1,9,9,9,9,72000000
117,1,2,2,2,2,72000000
118,1,2,2,2,2,72000000
119,1,5,5,5,5,72000000
120,1,3,3,3,3,72000000
121,1,11,11,11,11,72000000
122,1,6,6,6,6,72000000
123,1,8,8,8,8,72000000
124,1,6,6,6,6,72000000
125,1,3,3,3,3,72000000
126,1,6,6,6,6,72000000
127,1,5,5,5,5,72000000
128,1,4,4,4,4,72000000
129,1,3,3,3,3,72000000
130,1,6,6,6,6,72000000
131,1,10,10,10,10,72000000
132,1,8,8,8,8,72000000
133,1,9,9,9,9,72000000
134,1,5,5,5,5,72000000
135,1,6,6,6,6,72000000
136,1,7,7,7,7,72000000
137,1,3,3,3,3,72000000
138,1,6,6,6,6,72000000
139,1,4,4,4,4,72000000
140,1,3,3,3,3,72000000
141,1,2,2,2,2,72000000
142,1,5,5,5,5,72000000
143,1,8,8,8,8,72000000
144,1,9,9,9,9,72000000
145,1,3,3,3,3,72000000
146,1,6,6,6,6,72000000
147,1,3,3,3,3,72000000
148,1,4,4,4,4,72000000
149,1,8,8,8,8,72000000
150,1,10,10,10,10,72000000
151,1,6,6,6,6,72000000
152,1,9,9,9,9,72000000
153,1,9,9,9,9,72000000
154,1,0,0,0,0,72000000
155,1,10,10,10,10,72000000
156,1,6,6,6,6,72000000
157,1,5,5,5,5,72000000
158,1,7,7,7,7,72000000
159,1,12,12,12,12,72000000
160,1,5,5,5,5,72000000
161,1,3,3,3,3,72000000
162,1,13,13,13,13,72000000
163,1,4,4,4,4,72000000
164,1,9,9,9,9,72000000
165,1,4,4,4,4,72000000
166,1,3,3,3,3,72000000
167,1,6,6,6,6,72000000
168,1,5,5,5,5,72000000
169,1,5,5,5,5,72000000
170,1,7,7,7,7,72000000
171,1,9,9,9,9,72000000
172,1,5,5,5,5,72000000
173,1,10,10,10,10,72000000
174,1,4,4,4,4,72000000
175,1,7,7,7,7,72000000
176,1,4,4,4,4,72000000
177,1,5,5,5,5,72000000
178,1,6,6,6,6,72000000
179,1,4,4,4,4,72000000
180,1,6,6,6,6,72000000
181,1,5,5,5,5,72000000
182,1,7,7,7,7,72000000
183,1,4,4,4,4,72000000
184,1,9,9,9,9,72000000
185,1,7,7,7,7,72000000
186,1,4,4,4,4,72000000
187,1,6,6,6,6,72000000
188,1,6,6,6,6,72000000
189,1,3,3,3,3,72000000
190,1,5,5,5,5,72000000
191,1,6,6,6,6,72000000
192,1,4,4,4,4,72000000
193,1,8,8,8,8,72000000
194,1,6,6,6,6,72000000
195,1,4,4,4,4,72000000
196,1,3,3,3,3,72000000
197,1,4,4,4,4,72000000
198,1,6,6,6,6,72000000
199,1,2,2,2,2,72000000
200,1,7,7,7,7,72000000
201,1,4,4,4,4,72000000
202,1,6,6,6,6,72000000
203,1,10,10,10,10,72000000
204,1,5,5,5,5,72000000
205,1,11,11,11,11,72000000
206,1,6,6,6,6,72000000
207,1,4,4,4,4,72000000
208,1,4,4,4,4,72000000
209,1,4,4,4,4,72000000
210,1,3,3,3,3,72000000
211,1,4,4,4,4,72000000
212,1,6,6,6,6,72000000
213,1,5,5,5,5,72000000
214,1,4,4,4,4,72000000
215,1,7,7,7,7,72000000
216,1,4,4,4,4,72000000
217,1,8,8,8,8,72000000
218,1,7,7,7,7,72000000
219,1,7,7,7,7,72000000
220,1,3,3,3,3,72000000
221,1,6,6,6,6,72000000
222,1,8,8,8,8,72000000
223,1,6,6,6,6,72000000
224,1,7,7,7,7,72000000
225,1,4,4,4,4,72000000
226,1,9,9,9,9,72000000
227,1,8,8,8,8,72000000
228,1,4,4,4,4,72000000
229,1,6,6,6,6,72000000
230,1,10,10,10,10,72000000
231,1,6,6,6,6,72000000
232,1,3,3,3,3,72000000
233,1,3,3,3,3,72000000
234,1,7,7,7,7,72000000
235,1,4,4,4,4,72000000
236,1,7,7,7,7,72000000
237,1,9,9,9,9,72000000
238,1,8,8,8,8,72000000
239,1,10,10,10,10,72000000
240,1,5,5,5,5,72000000
241,1,5,5,5,5,72000000
242,1,3,3,3,3,72000000
243,1,5,5,5,5,72000000
244,1,2,2,2,2,72000000
245,1,9,9,9,9,72000000
246,1,5,5,5,5,72000000
247,1,2,2,2,2,72000000
248,1,4,4,4,4,72000000
249,1,9,9,9,9,72000000
250,1,11,11,11,11,72000000
251,1,3,3,3,3,72000000
252,1,6,6,6,6,72000000
253,1,5,5,5,5,72000000
254,1,5,5,5,5,72000000
255,1,3,3,3,3,72000000
256,1,5,5,5,5,72000000
257,1,4,4,4,4,72000000
258,1,12,12,12,12,72000000
259,1,7,7,7,7,72000000
260,1,11,11,11,11,72000000
261,1,7,7,7,7,72000000
262,1,3,3,3,3,72000000
263,1,5,5,5,5,72000000
264,1,8,8,8,8,72000000
265,1,4,4,4,4,72000000
266,1,10,10,10,10,72000000
267,1,9,9,9,9,72000000
268,1,9,9,9,9,72000000
269,1,4,4,4,4,72000000
270,1,7,7,7,7,72000000
271,1,10,10,10,10,72000000
272,1,9,9,9,9,72000000
273,1,8,8,8,8,72000000
274,1,6,6,6,6,72000000
275,1,8,8,8,8,72000000
276,1,6,6,6,6,72000000
277,1,7,7,7,7,72000000
278,1,5,5,5,5,72000000
279,1,5,5,5,5,72000000
280,1,6,6,6,6,72000000
281,1,9,9,9,9,72000000
282,1,7,7,7,7,72000000
283,1,6,6,6,6,72000000
284,1,7,7,7,7,72000000
285,1,10,10,10,10,72000000
286,1,9,9,9,9,72000000
287,1,4,4,4,4,72000000
288,1,4,4,4,4,72000000
289,1,6,6,6,6,72000000
290,1,4,4,4,4,72000000
291,1,4,4,4,4,72000000
292,1,3,3,3,3,72000000
293,1,5,5,5,5,72000000
294,1,9,9,9,9,72000000
295,1,8,8,8,8,72000000
296,1,5,5,5,5,72000000
297,1,10,10,10,10,72000000
298,1,5,5,5,5,72000000
299,1,4,4,4,4,72000000
300,1,6,6,6,6,72000000
301,1,3,3,3,3,72000000
302,1,2,2,2,2,72000000
303,1,5,5,5,5,72000000
304,1,3,3,3,3,72000000
305,1,12,12,12,12,72000000
306,1,5,5,5,5,72000000
307,1,11,11,11,11,72000000
308,1,10,10,10,10,72000000
309,1,4,4,4,4,72000000
310,1,8,8,8,8,72000000
311,1,9,9,9,9,72000000
312,1,6,6,6,6,72000000
313,1,4,4,4,4,72000000
314,1,6,6,6,6,72000000
315,1,5,5,5,5,72000000
316,1,7,7,7,7,72000000
317,1,4,4,4,4,72000000
318,1,7,7,7,7,72000000
319,1,7,7,7,7,72000000
320,1,6,6,6,6,72000000
321,1,4,4,4,4,72000000
322,1,5,5,5,5,72000000
323,1,4,4,4,4,72000000
324,1,4,4,4,4,72000000
325,1,3,3,3,3,72000000
326,1,3,3,3,3,72000000
327,1,10,10,10,10,72000000
328,1,7,7,7,7,72000000
329,1,4,4,4,4,72000000
330,1,8,8,8,8,72000000
331,1,7,7,7,7,72000000
332,1,6,6,6,6,72000000
333,1,7,7,7,7,72000000
334,1,1,1,1,1,72000000
335,1,0,0,0,0,72000000
336,1,11,11,11,11,72000000
337,1,4,4,4,4,72000000
338,1,8,8,8,8,72000000
339,1,6,6,6,6,72000000
340,1,2,2,2,2,72000000
341,1,4,4,4,4,72000000
342,1,3,3,3,3,72000000
343,1,10,10,10,10,72000000
344,1,8,8,8,8,72000000
345,1,9,9,9,9,72000000
346,1,5,5,5,5,72000000
347,1,2,2,2,2,72000000
348,1,4,4,4,4,72000000
349,1,7,7,7,7,72000000
350,1,7,7,7,7,72000000
351,1,4,4,4,4,72000000
352,1,7,7,7,7,72000000
353,1,6,6,6,6,72000000
354,1,4,4,4,4,72000000
355,1,5,5,5,5,72000000
356,1,7,7,7,7,72000000
