cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,timclk
357,1,6,6,6,6,72000000
358,1,7,7,7,7,72000000
359,1,7,7,7,7,72000000
360,1,4,4,4,4,72000000
361,1,6,6,6,6,72000000
362,1,6,6,6,6,72000000
363,1,5,5,5,5,72000000
364,1,4,4,4,4,72000000
365,1,6,6,6,6,72000000
366,1,6,6,6,6,72000000
367,1,8,8,8,8,72000000
368,1,6,6,6,6,72000000
369,1,4,4,4,4,72000000
370,1,6,6,6,6,72000000
371,1,6,6,6,6,72000000
372,1,4,4,4,4,72000000
373,1,5,5,5,5,72000000
374,1,7,7,7,7,72000000
375,1,8,8,8,8,72000000
376,1,5,5,5,5,72000000
377,1,8,8,8,8,72000000
378,1,7,7,7,7,72000000
379,1,8,8,8,8,72000000
380,1,7,7,7,7,72000000
381,1,6,6,6,6,72000000
382,1,8,8,8,8,72000000
383,1,4,4,4,4,72000000
384,1,5,5,5,5,72000000
385,1,7,7,7,7,72000000
386,1,7,7,7,7,72000000
387,1,8,8,8,8,72000000
388,1,7,7,7,7,72000000
389,1,6,6,6,6,72000000
390,1,5,5,5,5,72000000
391,1,5,5,5,5,72000000
392,1,7,7,7,7,72000000
393,1,5,5,5,5,72000000
394,1,4,4,4,4,72000000
395,1,7,7,7,7,72000000
396,1,3,3,3,3,72000000
397,1,2,2,2,2,72000000
398,1,3,3,3,3,72000000
399,1,2,2,2,2,72000000
400,1,5,5,5,5,72000000
401,1,5,5,5,5,72000000
402,1,5,5,5,5,72000000
403,1,10,10,10,10,72000000
404,1,6,6,6,6,72000000
405,1,6,6,6,6,72000000
406,1,6,6,6,6,72000000
407,1,8,8,8,8,72000000
408,1,5,5,5,5,72000000
409,1,6,6,6,6,72000000
410,1,7,7,7,7,72000000
411,1,6,6,6,6,72000000
412,1,6,6,6,6,72000000
413,1,5,5,5,5,72000000
414,1,4,4,4,4,72000000
415,1,7,7,7,7,72000000
416,1,2,2,2,2,72000000
417,1,5,5,5,5,72000000
418,1,4,4,4,4,72000000
419,1,9,9,9,9,72000000
420,1,2,2,2,2,72000000
421,1,11,11,11,11,72000000
422,1,6,6,6,6,72000000
423,1,4,4,4,4,72000000
424,1,3,3,3,3,72000000
425,1,9,9,9,9,72000000
426,1,4,4,4,4,72000000
427,1,5,5,5,5,72000000
428,1,3,3,3,3,72000000
429,1,3,3,3,3,72000000
430,1,3,3,3,3,72000000
431,1,4,4,4,4,72000000
432,1,5,5,5,5,72000000
433,1,6,6,6,6,72000000
434,1,6,6,6,6,72000000
435,1,6,6,6,6,72000000
436,1,7,7,7,7,72000000
437,1,5,5,5,5,72000000
438,1,6,6,6,6,72000000
439,1,5,5,5,5,72000000
440,1,8,8,8,8,72000000
441,1,3,3,3,3,72000000
442,1,10,10,10,10,72000000
443,1,5,5,5,5,72000000
444,1,5,5,5,5,72000000
445,1,3,3,3,3,72000000
446,1,10,10,10,10,72000000
447,1,6,6,6,6,72000000
448,1,6,6,6,6,72000000
449,1,10,10,10,10,72000000
450,1,8,8,8,8,72000000
451,1,4,4,4,4,72000000
452,1,2,2,2,2,72000000
453,1,6,6,6,6,72000000
454,1,1,1,1,1,72000000
455,1,3,3,3,3,72000000
456,1,6,6,6,6,72000000
457,1,4,4,4,4,72000000
458,1,6,6,6,6,72000000
459,1,6,6,6,6,72000000
460,1,5,5,5,5,72000000
461,1,2,2,2,2,72000000
462,1,10,10,10,10,72000000
463,1,9,9,9,9,72000000
464,1,6,6,6,6,72000000
465,1,4,4,4,4,72000000
466,1,8,8,8,8,72000000
467,1,2,2,2,2,72000000
468,1,5,5,5,5,72000000
469,1,6,6,6,6,72000000
470,1,3,3,3,3,72000000
471,1,9,9,9,9,72000000
472,1,5,5,5,5,72000000
473,1,5,5,5,5,72000000
474,1,7,7,7,7,72000000
475,1,3,3,3,3,72000000
476,1,6,6,6,6,72000000
477,1,9,9,9,9,72000000
478,1,5,5,5,5,72000000
479,1,6,6,6,6,72000000
480,1,6,6,6,6,72000000
481,1,4,4,4,4,72000000
482,1,3,3,3,3,72000000
483,1,2,2,2,2,72000000
484,1,6,6,6,6,72000000
485,1,6,6,6,6,72000000
486,1,4,4,4,4,72000000
487,1,6,6,6,6,72000000
488,1,4,4,4,4,72000000
489,1,4,4,4,4,72000000
490,1,9,9,9,9,72000000
491,1,3,3,3,3,72000000
492,1,7,7,7,7,72000000
493,1,6,6,6,6,72000000
494,1,3,3,3,3,72000000
495,1,8,8,8,8,72000000
496,1,5,5,5,5,72000000
497,1,6,6,6,6,72000000
498,1,5,5,5,5,72000000
499,1,5,5,5,5,72000000
500,1,5,5,5,5,72000000
501,1,1,1,1,1,72000000
502,1,8,8,8,8,72000000
503,1,2,2,2,2,72000000
504,1,4,4,4,4,72000000
505,1,7,7,7,7,72000000
506,1,11,11,11,11,72000000
507,1,7,7,7,7,72000000
508,1,6,6,6,6,72000000
509,1,7,7,7,7,72000000
510,1,8,8,8,8,72000000
511,1,2,2,2,2,72000000
512,1,5,5,5,5,72000000
513,1,13,13,13,13,72000000
514,1,6,6,6,6,72000000
515,1,4,4,4,4,72000000
516,1,4,4,4,4,72000000
517,1,4,4,4,4,72000000
518,1,11,11,11,11,72000000
519,1,9,9,9,9,72000000
520,1,2,2,2,2,72000000
521,1,3,3,3,3,72000000
522,1,10,10,10,10,72000000
523,1,6,6,6,6,72000000
524,1,5,5,5,5,72000000
525,1,5,5,5,5,72000000
526,1,5,5,5,5,72000000
527,1,9,9,9,9,72000000
528,1,5,5,5,5,72000000
529,1,3,3,3,3,72000000
530,1,4,4,4,4,72000000
531,1,4,4,4,4,72000000
532,1,4,4,4,4,72000000
533,1,7,7,7,7,72000000
534,1,6,6,6,6,72000000
535,1,12,12,12,12,72000000
536,1,4,4,4,4,72000000
537,1,7,7,7,7,72000000
538,1,2,2,2,2,72000000
539,1,2,2,2,2,72000000
540,1,9,9,9,9,72000000
541,1,6,6,6,6,72000000
542,1,6,6,6,6,72000000
543,1,5,5,5,5,72000000
544,1,4,4,4,4,72000000
545,1,4,4,4,4,72000000
546,1,7,7,7,7,72000000
547,1,5,5,5,5,72000000
548,1,4,4,4,4,72000000
549,1,5,5,5,5,72000000
550,1,5,5,5,5,72000000
551,1,6,6,6,6,72000000
552,1,5,5,5,5,72000000
553,1,4,4,4,4,72000000
554,1,4,4,4,4,72000000
555,1,6,6,6,6,72000000
556,1,5,5,5,5,72000000
557,1,7,7,7,7,72000000
558,1,6,6,6,6,72000000
559,1,2,2,2,2,72000000
560,1,4,4,4,4,72000000
561,1,3,3,3,3,72000000
562,1,10,10,10,10,72000000
563,1,3,3,3,3,72000000
564,1,5,5,5,5,72000000
565,1,8,8,8,8,72000000
566,1,7,7,7,7,72000000
567,1,5,5,5,5,72000000
568,1,6,6,6,6,72000000
569,1,6,6,6,6,72000000
570,1,5,5,5,5,72000000
