tick,count
88,1
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,3
97,0
98,1
99,1
100,1
101,1
102,1
103,2
104,2
105,4
106,5
107,0
108,1
109,4
110,3
111,4
112,11
113,3
114,11
115,6
116,9
117,13
118,13
119,16
120,18
121,21
122,19
123,22
124,22
125,25
126,29
127,36
128,37
129,34
130,43
131,42
132,60
133,45
134,45
135,60
136,60
137,64
138,57
139,70
140,69
141,84
142,74
143,62
144,75
145,77
146,89
147,84
148,77
149,72
150,76
151,83
152,72
153,73
154,66
155,74
156,63
157,67
158,76
159,62
160,91
161,93
162,70
163,92
164,80
165,75
166,95
167,78
168,90
169,82
170,96
171,84
172,101
173,95
174,117
175,99
176,99
177,126
178,94
179,101
180,132
181,96
182,115
183,137
184,108
185,128
186,124
187,101
188,134
189,116
190,121
191,97
192,93
193,91
194,94
195,111
196,105
197,87
198,101
199,68
200,69
201,55
202,71
203,70
204,62
205,60
206,44
207,36
208,32
209,36
210,19
211,32
212,17
213,13
214,11
215,14
216,7
217,8
218,7
219,7
220,6
221,3
222,9
223,3
224,3
225,5
226,0
227,2
228,2
229,0
230,2
231,0
232,0
233,1
