tick,count
160,1
161,2
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,1
177,2
178,0
179,1
180,1
181,1
182,0
183,1
184,0
185,0
186,0
187,0
188,0
189,0
190,2
191,2
192,1
193,1
194,0
195,0
196,1
197,0
198,0
199,1
200,0
201,1
202,1
203,0
204,1
