cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,timclk
198,1,99,99,99,99,72000000
199,1,138,138,138,138,72000000
200,1,123,123,123,123,72000000
201,1,108,108,108,108,72000000
202,1,119,119,119,119,72000000
203,1,132,132,132,132,72000000
204,1,116,116,116,116,72000000
205,1,118,118,118,118,72000000
206,1,123,123,123,123,72000000
207,1,100,100,100,100,72000000
208,1,122,122,122,122,72000000
209,1,123,123,123,123,72000000
210,1,121,121,121,121,72000000
211,1,130,130,130,130,72000000
212,1,104,104,104,104,72000000
213,1,104,104,104,104,72000000
214,1,125,125,125,125,72000000
215,1,127,127,127,127,72000000
216,1,129,129,129,129,72000000
217,1,113,113,113,113,72000000
218,1,145,145,145,145,72000000
219,1,117,117,117,117,72000000
220,1,135,135,135,135,72000000
221,1,121,121,121,121,72000000
222,1,119,119,119,119,72000000
223,1,123,123,123,123,72000000
224,1,124,124,124,124,72000000
225,1,127,127,127,127,72000000
226,1,115,115,115,115,72000000
227,1,107,107,107,107,72000000
228,1,124,124,124,124,72000000

width_rows
cycle,index,width_ticks,width_ns
1,0,103,1430.0
1,1,94,1305.0
1,2,99,1375.0
1,3,91,1263.0
1,4,92,1277.0
1,5,135,1875.0
1,6,113,1569.0
1,7,112,1555.0
1,8,96,1333.0
1,9,127,1763.0
1,10,108,1500.0
1,11,121,1680.0
1,12,118,1638.0
1,13,126,1750.0
1,14,118,1638.0
1,15,97,1347.0
1,16,110,1527.0
1,17,110,1527.0
1,18,85,1180.0
1,19,129,1791.0
1,20,119,1652.0
1,21,143,1986.0
1,22,103,1430.0
1,23,124,1722.0
1,24,75,1041.0
1,25,87,1208.0
1,26,120,1666.0
1,27,106,1472.0
1,28,116,1611.0
1,29,129,1791.0
1,30,114,1583.0
1,31,97,1347.0
1,32,134,1861.0
1,33,166,2305.0
1,34,90,1250.0
1,35,84,1166.0
1,36,122,1694.0
1,37,98,1361.0
1,38,142,1972.0
1,39,113,1569.0
1,40,88,1222.0
1,41,131,1819.0
1,42,123,1708.0
1,43,104,1444.0
1,44,99,1375.0
1,45,92,1277.0
1,46,96,1333.0
1,47,122,1694.0
1,48,106,1472.0
1,49,122,1694.0
1,50,136,1888.0
1,51,91,1263.0
1,52,118,1638.0
1,53,113,1569.0
1,54,102,1416.0
1,55,83,1152.0
1,56,32,444.0
1,57,94,1305.0
1,58,96,1333.0
1,59,103,1430.0
1,60,124,1722.0
1,61,120,1666.0
1,62,121,1680.0
1,63,123,1708.0
1,64,103,1430.0
1,65,101,1402.0
1,66,106,1472.0
1,67,122,1694.0
1,68,106,1472.0
1,69,127,1763.0
1,70,94,1305.0
1,71,131,1819.0
1,72,119,1652.0
1,73,91,1263.0
1,74,110,1527.0
1,75,122,1694.0
1,76,78,1083.0
1,77,107,1486.0
1,78,143,1986.0
1,79,65,902.0
1,80,99,1375.0
1,81,124,1722.0
1,82,88,1222.0
1,83,84,1166.0
1,84,120,1666.0
1,85,106,1472.0
1,86,85,1180.0
1,87,96,1333.0
1,88,106,1472.0
1,89,131,1819.0
1,90,128,1777.0
1,91,107,1486.0
1,92,125,1736.0
1,93,107,1486.0
1,94,95,1319.0
1,95,105,1458.0
1,96,145,2013.0
1,97,129,1791.0
1,98,92,1277.0
2,0,133,1847.0
2,1,114,1583.0
2,2,110,1527.0
2,3,97,1347.0
2,4,118,1638.0
2,5,135,1875.0
2,6,125,1736.0
2,7,125,1736.0
2,8,107,1486.0
2,9,109,1513.0
2,10,100,1388.0
2,11,110,1527.0
2,12,78,1083.0
2,13,106,1472.0
2,14,94,1305.0
2,15,106,1472.0
2,16,115,1597.0
2,17,122,1694.0
2,18,97,1347.0
2,19,66,916.0
2,20,115,1597.0
2,21,102,1416.0
2,22,171,2375.0
2,23,127,1763.0
2,24,75,1041.0
2,25,85,1180.0
2,26,111,1541.0
2,27,92,1277.0
2,28,126,1750.0
2,29,123,1708.0
2,30,113,1569.0
2,31,97,1347.0
2,32,115,1597.0
2,33,141,1958.0
2,34,128,1777.0
2,35,122,1694.0
2,36,88,1222.0
2,37,109,1513.0
2,38,113,1569.0
2,39,53,736.0
2,40,100,1388.0
2,41,113,1569.0
2,42,94,1305.0
2,43,118,1638.0
2,44,95,1319.0
2,45,119,1652.0
2,46,87,1208.0
2,47,132,1833.0
2,48,111,1541.0
2,49,109,1513.0
2,50,107,1486.0
2,51,117,1625.0
2,52,115,1597.0
2,53,77,1069.0
2,54,90,1250.0
2,55,137,1902.0
2,56,82,1138.0
2,57,113,1569.0
2,58,104,1444.0
2,59,126,1750.0
2,60,107,1486.0
2,61,113,1569.0
2,62,105,1458.0
2,63,119,1652.0
2,64,139,1930.0
2,65,89,1236.0
2,66,94,1305.0
2,67,107,1486.0
2,68,99,1375.0
2,69,113,1569.0
2,70,106,1472.0
2,71,95,1319.0
2,72,100,1388.0
2,73,142,1972.0
2,74,125,1736.0
2,75,113,1569.0
2,76,128,1777.0
2,77,88,1222.0
2,78,126,1750.0
2,79,94,1305.0
2,80,107,1486.0
2,81,102,1416.0
2,82,74,1027.0
2,83,81,1125.0
2,84,102,1416.0
2,85,112,1555.0
2,86,102,1416.0
2,87,110,1527.0
2,88,74,1027.0
2,89,101,1402.0
2,90,86,1194.0
2,91,109,1513.0
2,92,75,1041.0
2,93,115,1597.0
2,94,125,1736.0
2,95,98,1361.0
2,96,77,1069.0
2,97,96,1333.0
2,98,126,1750.0
2,99,110,1527.0
2,100,124,1722.0
2,101,129,1791.0
2,102,107,1486.0
2,103,105,1458.0
2,104,94,1305.0
2,105,144,2000.0
2,106,92,1277.0
2,107,115,1597.0
2,108,107,1486.0
2,109,114,1583.0
2,110,100,1388.0
2,111,88,1222.0
2,112,97,1347.0
2,113,90,1250.0
2,114,113,1569.0
3,0,103,1430.0
3,1,109,1513.0
3,2,116,1611.0
3,3,104,1444.0
3,4,122,1694.0
3,5,111,1541.0
3,6,61,847.0
3,7,128,1777.0
3,8,160,2222.0
3,9,121,1680.0
3,10,105,1458.0
3,11,141,1958.0
3,12,108,1500.0
3,13,100,1388.0
3,14,76,1055.0
3,15,111,1541.0
3,16,97,1347.0
3,17,119,1652.0
3,18,112,1555.0
3,19,132,1833.0
3,20,109,1513.0
3,21,121,1680.0
3,22,95,1319.0
3,23,112,1555.0
3,24,94,1305.0
3,25,84,1166.0
3,26,111,1541.0
3,27,74,1027.0
3,28,100,1388.0
3,29,124,1722.0
3,30,124,1722.0
3,31,92,1277.0
3,32,99,1375.0
3,33,135,1875.0
3,34,88,1222.0
3,35,149,2069.0
3,36,88,1222.0
3,37,101,1402.0
3,38,70,972.0
3,39,92,1277.0
3,40,144,2000.0
3,41,128,1777.0
3,42,122,1694.0
3,43,96,1333.0
3,44,125,1736.0
3,45,88,1222.0
3,46,108,1500.0
3,47,91,1263.0
3,48,99,1375.0
3,49,100,1388.0
3,50,105,1458.0
3,51,102,1416.0
3,52,102,1416.0
3,53,135,1875.0
3,54,134,1861.0
3,55,116,1611.0
3,56,110,1527.0
3,57,133,1847.0
3,58,90,1250.0
3,59,106,1472.0
3,60,124,1722.0
3,61,122,1694.0
3,62,66,916.0
3,63,84,1166.0
3,64,118,1638.0
3,65,107,1486.0
3,66,137,1902.0
3,67,122,1694.0
3,68,109,1513.0
3,69,124,1722.0
3,70,98,1361.0
3,71,117,1625.0
3,72,92,1277.0
3,73,119,1652.0
3,74,95,1319.0
3,75,104,1444.0
3,76,102,1416.0
3,77,131,1819.0
3,78,118,1638.0
3,79,136,1888.0
3,80,112,1555.0
3,81,138,1916.0
3,82,121,1680.0
3,83,115,1597.0
3,84,118,1638.0
3,85,99,1375.0
3,86,144,2000.0
3,87,82,1138.0
3,88,98,1361.0
3,89,140,1944.0
3,90,88,1222.0
3,91,147,2041.0
3,92,87,1208.0
3,93,91,1263.0
3,94,114,1583.0
3,95,119,1652.0
3,96,118,1638.0
3,97,104,1444.0
3,98,109,1513.0
3,99,97,1347.0
3,100,109,1513.0
3,101,111,1541.0
4,0,85,1180.0
4,1,114,1583.0
4,2,73,1013.0
4,3,115,1597.0
4,4,122,1694.0
4,5,114,1583.0
4,6,132,1833.0
4,7,125,1736.0
4,8,101,1402.0
4,9,91,1263.0
4,10,104,1444.0
4,11,119,1652.0
4,12,103,1430.0
4,13,113,1569.0
4,14,134,1861.0
4,15,97,1347.0
4,16,119,1652.0
4,17,119,1652.0
4,18,96,1333.0
4,19,96,1333.0
4,20,105,1458.0
4,21,98,1361.0
4,22,103,1430.0
4,23,120,1666.0
