cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,buf_overwritten
243,1,99,99,99,99,
244,1,114,114,114,114,
245,1,111,111,111,111,
246,1,25,25,25,25,
247,1,44,44,44,44,
248,1,40,40,40,40,
249,1,30,30,30,30,
250,1,38,38,38,38,
251,1,32,32,32,32,
252,1,35,35,35,35,
253,1,33,33,33,33,
254,1,35,35,35,35,
255,1,32,32,32,32,
256,1,31,31,31,31,
257,1,16,16,16,16,
258,1,10,10,10,10,
259,1,8,8,8,8,
260,1,7,7,7,7,
261,1,3,3,3,3,
262,1,17,17,17,17,
263,1,19,19,19,19,
264,1,17,17,17,17,
265,1,11,11,11,11,
266,1,13,13,13,13,
267,1,12,12,12,12,
268,1,16,16,16,16,
269,1,12,12,12,12,
270,1,27,27,27,27,
271,1,30,30,30,30,
272,1,101,101,101,101,
273,1,89,89,89,89,
274,1,72,72,72,72,
275,1,81,81,81,81,
276,1,67,67,67,67,
277,1,75,75,75,75,
278,1,62,62,62,62,
279,1,76,76,76,76,
280,1,87,87,87,87,
281,1,104,104,104,104,
282,1,57,57,57,57,
283,1,62,62,62,62,
284,1,72,72,72,72,
285,1,100,99,99,99,
286,1,78,78,78,78,
287,1,78,78,78,78,
288,1,95,95,95,95,
289,1,81,81,81,81,
290,1,69,69,69,69,
291,1,76,76,76,76,
292,1,78,78,78,78,
293,1,83,83,83,83,
294,1,79,79,79,79,
295,1,71,71,71,71,
296,1,88,88,88,88,
297,1,80,80,80,80,
298,1,91,91,91,91,
299,1,108,108,108,108,
300,1,77,77,77,77,
301,1,72,72,72,72,
302,1,85,85,85,85,
303,1,96,96,96,96,
304,1,78,78,78,78,
305,1,83,83,83,83,
306,1,67,67,67,67,
307,1,88,88,88,88,
308,1,79,79,79,79,
309,1,78,78,78,78,
310,1,81,81,81,81,
311,1,81,81,81,81,
312,1,91,91,91,91,
313,1,81,81,81,81,
314,1,74,74,74,74,
315,1,74,74,74,74,
316,1,91,91,91,91,
317,1,86,86,86,86,
318,1,106,106,106,106,
319,1,97,97,97,97,
320,1,80,80,80,80,
321,1,83,83,83,83,
322,1,89,89,89,89,
323,1,82,82,82,82,
324,1,77,77,77,77,
325,1,76,76,76,76,
326,1,101,101,101,101,
327,1,70,70,70,70,
328,1,84,84,84,84,
329,1,86,86,86,86,
330,1,86,86,86,86,
331,1,99,99,99,99,
332,1,79,79,79,79,
333,1,101,101,101,101,
334,1,79,79,79,79,
335,1,86,86,86,86,
336,1,87,87,87,87,
337,1,79,79,79,79,
338,1,77,77,77,77,
339,1,77,77,77,77,
340,1,79,79,79,79,
