cycle_summary
cycle,duration_s,etr_count,tim2_n_total,n_saved_reported,n_parsed,timclk
198,1,19,19,19,19,72000000
199,1,21,21,21,21,72000000
200,1,25,25,25,25,72000000
201,1,19,19,19,19,72000000
202,1,11,11,11,11,72000000
203,1,17,17,17,17,72000000
204,1,16,16,16,16,72000000
205,1,23,23,23,23,72000000
206,1,14,14,14,14,72000000
207,1,17,17,17,17,72000000
208,1,23,23,23,23,72000000
209,1,18,18,18,18,72000000
210,1,13,13,13,13,72000000
211,1,17,17,17,17,72000000
212,1,14,14,14,14,72000000
213,1,29,29,29,29,72000000
214,1,19,19,19,19,72000000

width_rows
cycle,index,width_ticks,width_ns
1,0,151,2097.0
1,1,197,2736.0
1,2,189,2625.0
1,3,201,2791.0
1,4,197,2736.0
1,5,189,2625.0
1,6,200,2777.0
1,7,195,2708.0
1,8,130,1805.0
1,9,198,2750.0
1,10,196,2722.0
1,11,137,1902.0
1,12,189,2625.0
1,13,143,1986.0
1,14,152,2111.0
1,15,159,2208.0
1,16,201,2791.0
1,17,205,2847.0
1,18,193,2680.0
1,19,127,1763.0
2,0,133,1847.0
2,1,196,2722.0
2,2,135,1875.0
2,3,183,2541.0
2,4,199,2763.0
2,5,199,2763.0
2,6,193,2680.0
2,7,181,2513.0
2,8,192,2666.0
2,9,150,2083.0
2,10,164,2277.0
2,11,196,2722.0
2,12,188,2611.0
2,13,175,2430.0
2,14,196,2722.0
2,15,175,2430.0
2,16,195,2708.0
3,0,202,2805.0
3,1,199,2763.0
3,2,195,2708.0
3,3,155,2152.0
3,4,204,2833.0
3,5,201,2791.0
3,6,157,2180.0
3,7,164,2277.0
3,8,185,2569.0
3,9,196,2722.0
3,10,206,2861.0
3,11,188,2611.0
3,12,148,2055.0
3,13,155,2152.0
3,14,208,2888.0
3,15,208,2888.0
3,16,135,1875.0
3,17,191,2652.0
4,0,174,2416.0
4,1,195,2708.0
4,2,202,2805.0
4,3,147,2041.0
4,4,197,2736.0
4,5,134,1861.0
4,6,209,2902.0
4,7,194,2694.0
4,8,139,1930.0
4,9,182,2527.0
4,10,114,1583.0
4,11,139,1930.0
4,12,206,2861.0
4,13,200,2777.0
4,14,147,2041.0
4,15,192,2666.0
4,16,195,2708.0
4,17,178,2472.0
4,18,200,2777.0
4,19,195,2708.0
4,20,200,2777.0
4,21,195,2708.0
4,22,138,1916.0
4,23,211,2930.0
4,24,137,1902.0
4,25,205,2847.0
4,26,177,2458.0
4,27,218,3027.0
5,0,196,2722.0
5,1,201,2791.0
5,2,205,2847.0
5,3,205,2847.0
5,4,168,2333.0
5,5,123,1708.0
5,6,190,2638.0
5,7,176,2444.0
5,8,149,2069.0
5,9,145,2013.0
5,10,187,2597.0
5,11,151,2097.0
5,12,191,2652.0
5,13,197,2736.0
5,14,199,2763.0
5,15,202,2805.0
6,0,188,2611.0
6,1,180,2500.0
6,2,153,2125.0
6,3,158,2194.0
6,4,126,1750.0
6,5,188,2611.0
6,6,201,2791.0
6,7,193,2680.0
6,8,163,2263.0
6,9,185,2569.0
6,10,193,2680.0
6,11,153,2125.0
6,12,153,2125.0
6,13,195,2708.0
6,14,207,2875.0
6,15,190,2638.0
6,16,203,2819.0
6,17,201,2791.0
6,18,179,2486.0
6,19,146,2027.0
6,20,184,2555.0
6,21,181,2513.0
6,22,197,2736.0
7,0,191,2652.0
7,1,194,2694.0
7,2,131,1819.0
7,3,199,2763.0
7,4,186,2583.0
7,5,166,2305.0
7,6,139,1930.0
7,7,199,2763.0
7,8,173,2402.0
7,9,187,2597.0
7,10,198,2750.0
7,11,192,2666.0
7,12,163,2263.0
7,13,159,2208.0
7,14,172,2388.0
7,15,156,2166.0
7,16,193,2680.0
7,17,192,2666.0
7,18,137,1902.0
7,19,146,2027.0
7,20,213,2958.0
7,21,196,2722.0
7,22,158,2194.0
7,23,195,2708.0
7,24,179,2486.0
8,0,196,2722.0
8,1,171,2375.0
8,2,191,2652.0
8,3,194,2694.0
8,4,204,2833.0
8,5,165,2291.0
8,6,181,2513.0
8,7,191,2652.0
8,8,212,2944.0
8,9,199,2763.0
8,10,195,2708.0
8,11,188,2611.0
8,12,193,2680.0
8,13,152,2111.0
8,14,155,2152.0
8,15,209,2902.0
8,16,149,2069.0
8,17,195,2708.0
8,18,146,2027.0
8,19,153,2125.0
8,20,162,2250.0
8,21,154,2138.0
9,0,189,2625.0
9,1,128,1777.0
9,2,101,1402.0
9,3,199,2763.0
9,4,151,2097.0
9,5,198,2750.0
9,6,194,2694.0
9,7,166,2305.0
9,8,190,2638.0
9,9,193,2680.0
9,10,197,2736.0
9,11,167,2319.0
9,12,202,2805.0
9,13,137,1902.0
9,14,176,2444.0
9,15,196,2722.0
9,16,162,2250.0
10,0,187,2597.0
10,1,200,2777.0
10,2,132,1833.0
10,3,193,2680.0
10,4,188,2611.0
10,5,153,2125.0
10,6,197,2736.0
10,7,159,2208.0
10,8,132,1833.0
10,9,192,2666.0
10,10,173,2402.0
10,11,150,2083.0
10,12,199,2763.0
10,13,186,2583.0
10,14,206,2861.0
10,15,147,2041.0
